LN_type,ORN_type,input_preference,n_ln_body_ids,source_LN_types,point_label,glomerulus,x_order,LN_type_mean_input_preference
lLN2P_a,ORN_DL2d,0.18181818181818182,1,lLN2P_a,ORN_DL2d,DL2d,7,0.33279276429555404
lLN2P_a,ORN_DL2v,0.3188405797101449,2,lLN2P_a,ORN_DL2v,DL2v,7,0.33279276429555404
lLN2P_a,ORN_DL4,-0.5,1,lLN2P_a,ORN_DL4,DL4,7,0.33279276429555404
lLN2P_a,ORN_DL5,0.550561797752809,1,lLN2P_a,ORN_DL5,DL5,7,0.33279276429555404
lLN2P_a,ORN_DM1,0.43436522489483337,2,lLN2P_a,ORN_DM1,DM1,7,0.33279276429555404
lLN2P_a,ORN_DM2,0.26071428571428573,2,lLN2P_a,ORN_DM2,DM2,7,0.33279276429555404
lLN2P_a,ORN_DM3,0.34936575052854124,2,lLN2P_a,ORN_DM3,DM3,7,0.33279276429555404
lLN2P_a,ORN_DM4,0.33763440860215055,2,lLN2P_a,ORN_DM4,DM4,7,0.33279276429555404
lLN2P_a,ORN_DM6,0.3722627737226277,1,lLN2P_a,ORN_DM6,DM6,7,0.33279276429555404
lLN2P_a,ORN_DP1m,0.7948717948717948,1,lLN2P_a,ORN_DP1m,DP1m,7,0.33279276429555404
lLN2P_a,ORN_VC1,0.8,1,lLN2P_a,ORN_VC1,VC1,7,0.33279276429555404
lLN2P_a,ORN_VC3l,0.17142857142857143,1,lLN2P_a,ORN_VC3l,VC3l,7,0.33279276429555404
lLN2P_a,ORN_VL2a,0.6428571428571429,1,lLN2P_a,ORN_VL2a,VL2a,7,0.33279276429555404
lLN2P_a,ORN_VL2p,0.41379310344827586,1,lLN2P_a,ORN_VL2p,VL2p,7,0.33279276429555404
lLN2P_a,ORN_VM7v,0.2857142857142857,1,lLN2P_a,ORN_VM7v,VM7v,7,0.33279276429555404
lLN2T_c,ORN_DA1,0.11002441845521141,2,lLN2T_c,ORN_DA1,DA1,8,0.2999224441233322
lLN2T_c,ORN_DC1,0.14190253245371356,2,lLN2T_c,ORN_DC1,DC1,8,0.2999224441233322
lLN2T_c,ORN_DC2,0.5184302036761053,2,lLN2T_c,ORN_DC2,DC2,8,0.2999224441233322
lLN2T_c,ORN_DC4,0.0959349593495935,2,lLN2T_c,ORN_DC4,DC4,8,0.2999224441233322
lLN2T_c,ORN_DL1,0.4446808510638298,2,lLN2T_c,ORN_DL1,DL1,8,0.2999224441233322
lLN2T_c,ORN_DL2d,0.25996204933586337,2,lLN2T_c,ORN_DL2d,DL2d,8,0.2999224441233322
lLN2T_c,ORN_DL2v,0.14159891598915988,2,lLN2T_c,ORN_DL2v,DL2v,8,0.2999224441233322
lLN2T_c,ORN_DL3,-0.022988505747126436,2,lLN2T_c,ORN_DL3,DL3,8,0.2999224441233322
lLN2T_c,ORN_DL4,0.26994744386048736,2,lLN2T_c,ORN_DL4,DL4,8,0.2999224441233322
lLN2T_c,ORN_DL5,0.6157560706401766,2,lLN2T_c,ORN_DL5,DL5,8,0.2999224441233322
lLN2T_c,ORN_DM1,0.36421579786023217,2,lLN2T_c,ORN_DM1,DM1,8,0.2999224441233322
lLN2T_c,ORN_DM2,0.4473959591081059,2,lLN2T_c,ORN_DM2,DM2,8,0.2999224441233322
lLN2T_c,ORN_DM3,0.3359173126614987,2,lLN2T_c,ORN_DM3,DM3,8,0.2999224441233322
lLN2T_c,ORN_DM4,0.17647058823529413,2,lLN2T_c,ORN_DM4,DM4,8,0.2999224441233322
lLN2T_c,ORN_DM6,0.4324494949494949,2,lLN2T_c,ORN_DM6,DM6,8,0.2999224441233322
lLN2T_c,ORN_DP1l,0.49306930693069306,2,lLN2T_c,ORN_DP1l,DP1l,8,0.2999224441233322
lLN2T_c,ORN_DP1m,0.1852233676975945,2,lLN2T_c,ORN_DP1m,DP1m,8,0.2999224441233322
lLN2T_c,ORN_VA3,-0.030303030303030304,2,lLN2T_c,ORN_VA3,VA3,8,0.2999224441233322
lLN2T_c,ORN_VC1,0.5416666666666666,2,lLN2T_c,ORN_VC1,VC1,8,0.2999224441233322
lLN2T_c,ORN_VC3l,0.017857142857142856,2,lLN2T_c,ORN_VC3l,VC3l,8,0.2999224441233322
lLN2T_c,ORN_VL2a,0.4863116370808679,2,lLN2T_c,ORN_VL2a,VL2a,8,0.2999224441233322
lLN2T_c,ORN_VL2p,0.47269303201506596,2,lLN2T_c,ORN_VL2p,VL2p,8,0.2999224441233322
lLN2T_c,ORN_VM7v,0.4,2,lLN2T_c,ORN_VM7v,VM7v,8,0.2999224441233322
lLN2T_d,ORN_DA1,0.3667091836734694,2,lLN2T_d,ORN_DA1,DA1,9,0.2698500688546035
lLN2T_d,ORN_DC1,0.36,1,lLN2T_d,ORN_DC1,DC1,9,0.2698500688546035
