bodyid,pre,post,upstream,downstream,status,name,voxels,soma,side,connectivity.type,cell.type,group,anatomy.group,class,cellBodyFiber,layer,ct.layer,axon.outputs,dend.outputs,axon.inputs,dend.inputs,total.length,axon.length,dend.length,pd.length,segregation_index,notes,ALR_n_inputs,ALR_n_ipsi_inputs,ALR_n_contra_inputs,ALL_n_inputs,ALL_n_ipsi_inputs,ALL_n_contra_inputs
1887160257,164,292,292,999,Traced,lLN15_R,340349948,True,right,lLN15,lLN15,lLN10-17,l_LN_regional_,ALLN_regional,AVM02,2.623,3,599,401,114,170,1329.36841519787,412.532071441233,615.288981172692,57.9253658814161,0.0256776804140595,"Type: regional LNs that innervate the same are of the AL, with several long neurites towards the midline but no bilateral projections, poss cut. Group: regional LNs that innervate the same are of the AL, with several long neurites towards the midline but no bilateral projections, poss cut",19,14,5,0,0,0
1824745150,230,337,337,1444,Traced,lLN15_R,379144784,True,right,lLN15,lLN15,lLN10-17,l_LN_regional_,ALLN_regional,AVM02,2.762,3,645,800,84,244,1445.19365692174,296.348288204957,793.148141170752,67.3321643153833,0.0246615537483887,"Type: regional LNs that innervate the same are of the AL, with several long neurites towards the midline but no bilateral projections, poss cut. Group: regional LNs that innervate the same are of the AL, with several long neurites towards the midline but no bilateral projections, poss cut",18,13,5,0,0,0
5812998538,210,298,298,1351,Traced,lLN15_R,379011233,True,right,lLN15,lLN15,lLN10-17,l_LN_regional_,ALLN_regional,AVM02,2.627,3,770,582,82,215,1447.31406460797,424.606520430807,738.413713341796,12.9385140203777,0.0553760885899106,"Type: regional LNs that innervate the same are of the AL, with several long neurites towards the midline but no bilateral projections, poss cut. Group: regional LNs that innervate the same are of the AL, with several long neurites towards the midline but no bilateral projections, poss cut",13,12,1,0,0,0
1702318692,62,335,335,419,Traced,lLN16a_R,117947031,False,right,lLN16A,lLN16A,lLN10-17,l_LN_sparse_,ALLN_sparse,AVM02,2.548,3,255,160,76,257,1115.03945648887,318.868942133709,572.528863704988,37.8292309585855,0.11278968342965,"Type: sparse LNs that innervate the same area of the AL, very spread out. Group: sparse LNs that innervate the same area of the AL, very spread out",38,35,3,0,0,0
1732667174,51,176,176,327,Traced,lLN16a_R,103657862,False,right,lLN16A,lLN16A,lLN10-17,l_LN_sparse_,ALLN_sparse,AVM02,2.862,3,248,79,35,134,829.046352052046,228.127777196358,385.675441961159,32.2678302343997,0.225774272454094,"Type: sparse LNs that innervate the same area of the AL, very spread out. Group: sparse LNs that innervate the same area of the AL, very spread out",11,10,1,0,0,0
2011308218,62,278,278,418,Orphan,lLN16a_R,107101291,False,right,lLN16A,lLN16A,lLN10-17,l_LN_sparse_,ALLN_sparse,AVM02,2.726,3,324,84,90,176,951.711560396522,340.102406616948,370.439369138321,66.9410375389179,0.15872660389034,"Type: sparse LNs that innervate the same area of the AL, very spread out. Group: sparse LNs that innervate the same area of the AL, very spread out",32,30,2,0,0,0
1763360713,73,262,262,509,Traced,lLN16b_R,133542986,False,right,lLN16B,lLN16B,lLN10-17,l_LN_sparse_,ALLN_sparse,AVM02,2.486,2,398,111,55,203,820.938864640633,265.658184688594,335.563986073845,17.7295394370109,0.241623614695125,"Type: sparse LNs that innervate the same area of the AL, very spread out. Group: sparse LNs that innervate the same area of the AL, very spread out",23,15,8,0,0,0
1887168462,77,294,294,548,Traced,lLN16b_R,200086149,True,right,lLN16B,lLN16B,lLN10-17,l_LN_sparse_,ALLN_sparse,AVM02,2.45,2,379,131,111,173,891.51903594786,279.880892482876,375.371451823359,64.2305874419684,0.0922564545269525,"Type: sparse LNs that innervate the same area of the AL, very spread out. Group: sparse LNs that innervate the same area of the AL, very spread out",38,14,24,0,0,0
1857485213,118,269,269,849,Traced,lLN16b_R,243210385,True,right,lLN16B,lLN16B,lLN10-17,l_LN_sparse_,ALLN_sparse,AVM02,2.405,2,577,261,92,172,1003.72451305534,256.261978622599,468.429594545459,38.7262039282359,0.0789892877465648,"Type: sparse LNs that innervate the same area of the AL, very spread out. Group: sparse LNs that innervate the same area of the AL, very spread out",64,39,25,0,0,0
1856820145,63,239,239,418,Traced,lLN16b_R,131387769,False,right,lLN16B,lLN16B,lLN10-17,l_LN_sparse_,ALLN_sparse,AVM02,2.165,2,274,106,55,176,790.525013279935,178.925441137763,384.394205194547,74.2124087442116,0.172697003091371,"Type: sparse LNs that innervate the same area of the AL, very spread out. Group: sparse LNs that innervate the same area of the AL, very spread out",39,8,31,0,0,0
