root_id,analysis_body_ids,analysis_instances,analysis_hemispheres,analysis_neuropils,primary_flywire_name,comparison_name,recommended_match_group,hemibrain_type_names,hemibrain_family_names,all_names,cell_type,hemibrain_type,user_tags,flow,super_class,cell_class,cell_sub_class,morphology_group,side,top_nt,top_nt_conf,known_nt,known_nt_source
720575940621251818,,,,,CB1545,CB1545,CB1545,,,AL local neuron;ALLN;ALv2;CB1545;glutamate;right,CB1545,,"AL local neuron,ALLN;ALv2; right; glutamate",intrinsic,central,ALLN,,ALv2__0,left,glutamate,0.4374716548790414,,
720575940622637575,,,,,CB1545,CB1545,CB1545,,,AL local neuron;ALLN;ALv2;CB1545;right,CB1545,,"AL local neuron,ALLN;ALv2; right",intrinsic,central,ALLN,,ALv2__0,left,glutamate,0.5687925018398722,,
720575940625868440,,,,,CB1545,CB1545,CB1545,,,AL local neuron;ALLN;ALv2;CB1545;glutamate;right,CB1545,,"AL local neuron,ALLN;ALv2; right; glutamate",intrinsic,central,ALLN,,ALv2__0,left,glutamate,0.6402296542291472,,
720575940629617879,,,,,CB1545,CB1545,CB1545,,,AL local neuron;ALLN;ALv2;CB1545;glutamate;left,CB1545,,"AL local neuron,ALLN;ALv2; left; glutamate",intrinsic,central,ALLN,,ALv2__0,right,glutamate,0.6063660483701065,,
720575940631558113,7205759406315581132,CB1545_R,R,AL_R,CB1545,CB1545,CB1545,,,AL local neuron;ALLN;ALv2;CB1545;left,CB1545,,"AL local neuron,ALLN;ALv2; left",intrinsic,central,ALLN,,ALv2__0,right,glutamate,0.5921931386255033,,
720575940636151391,7205759406361513912,CB1545_R,R,AL_R,CB1545,CB1545,CB1545,,,AL local neuron;ALLN;ALv2;CB1545;glutamate;left,CB1545,,"AL local neuron,ALLN;ALv2; left; glutamate",intrinsic,central,ALLN,,ALv2__0,right,glutamate,0.6563602994665018,,
720575940621089780,7205759406210897801,CB1546_L,L,AL_L,CB1546,CB1546,CB1546,,,AL local neuron;ALLN;CB1546,CB1546,,"AL local neuron,ALLN",intrinsic,central,ALLN,,ALl1_dorsal__0,left,gaba,0.5803712771022886,,
720575940628251907,7205759406282519072,CB1546_R,R,AL_R,CB1546,CB1546,CB1546,,,AL local neuron;ALLN;CB1546,CB1546,,"AL local neuron,ALLN",intrinsic,central,ALLN,,ALl1_dorsal__0,right,gaba,0.5156200344470707,,
720575940628326417,7205759406283264172,CB1546_R,R,AL_R,CB1546,CB1546,CB1546,,,AL local neuron;ALLN;CB1546,CB1546,,"AL local neuron,ALLN",intrinsic,central,ALLN,,ALl1_dorsal__0,right,gaba,0.5397009253230851,,
720575940630864170,7205759406308641701,CB1546_L,L,AL_L,CB1546,CB1546,CB1546,,,AL local neuron;ALLN;CB1546,CB1546,,"AL local neuron,ALLN",intrinsic,central,ALLN,,ALl1_dorsal__0,left,gaba,0.5987628610223299,,
