id,pre_pt_supervoxel_id,pre_pt_root_id,post_pt_supervoxel_id,post_pt_root_id,target_id,neuropil,pre_cell_type,pre_hemibrain_type,pre_side,glomerulus,pre_cell_sub_class,target_group,target_cell_type,target_hemibrain_type,target_side
7879538,82544392816138806,720575940622726271,82544392816143330,720575940636488110,7879538,LH_R,,DP1m_adPN,right,DP1m,uniglomerular,PV5a1,,LHPV5a1,right
60989930,78533374532542580,720575940618308825,78533374532548992,720575940614928234,60989930,MB_CA_L,,DP1m_adPN,left,DP1m,uniglomerular,PD2a1_b1,CB3198,LHPD2b1,left
239607828,76774224580447738,720575940618308825,76774224580445169,720575940614182398,239607828,LH_L,,DP1m_adPN,left,DP1m,uniglomerular,PV5a1,,LHPV5a1,left
157903242,76633349652802882,720575940618308825,76633349652817491,720575940617903617,157903242,LH_L,,DP1m_adPN,left,DP1m,uniglomerular,PV5a1,,LHPV5a1,left
190868044,82544392816142254,720575940622726271,82544392816151296,720575940636488110,190868044,LH_R,,DP1m_adPN,right,DP1m,uniglomerular,PV5a1,,LHPV5a1,right
240672077,83037248903657099,720575940622726271,83037248903660918,720575940630149829,240672077,LH_R,,DP1m_adPN,right,DP1m,uniglomerular,PD2a1_b1,CB2977,LHPD2a1,right
79944819,78814986545685375,720575940625040053,78814986545686785,720575940627221011,79944819,CRE_L,,M_lvPNm26,left,mPN,multiglomerular,PD2a1_b1,CB3009,LHPD2a1,left
39322843,82685267676508855,720575940622726271,82685267676502709,720575940617540509,39322843,SLP_R,,DP1m_adPN,right,DP1m,uniglomerular,PV5a1,,LHPV5a1,right
114406586,76281574651658024,720575940618308825,76281574651655515,720575940630050391,114406586,LH_L,,DP1m_adPN,left,DP1m,uniglomerular,PD2a1_b1,CB2842,LHPD2a1,left
161854873,76633555811422207,720575940618308825,76633555811424651,720575940631234575,161854873,LH_L,,DP1m_adPN,left,DP1m,uniglomerular,PV5a1,,LHPV5a1,left
63519082,81770405484020953,720575940622726271,81770405484007699,720575940633320785,63519082,MB_CA_R,,DP1m_adPN,right,DP1m,uniglomerular,PD2a1_b1,CB3198,LHPD2b1,right
138685896,82966674001147026,720575940622726271,83037111464803622,720575940634792884,138685896,LH_R,,DP1m_adPN,right,DP1m,uniglomerular,PD2a1_b1,CB2842,LHPD2a1,right
117777414,82896442628846135,720575940622726271,82896442628852060,720575940636488110,117777414,LH_R,,DP1m_adPN,right,DP1m,uniglomerular,PV5a1,,LHPV5a1,right
154646853,76844730763808250,720575940618308825,76844730763809575,720575940621359988,154646853,LH_L,,DP1m_adPN,left,DP1m,uniglomerular,PV5a1,,LHPV5a1,left
62177865,76563187134324753,720575940618308825,76563187134333920,720575940617903617,62177865,LH_L,,DP1m_adPN,left,DP1m,uniglomerular,PV5a1,,LHPV5a1,left
184602818,76844455952466307,720575940618308825,76844455952465202,720575940621359988,184602818,LH_L,,DP1m_adPN,left,DP1m,uniglomerular,PV5a1,,LHPV5a1,left
3673611,76633212213980697,720575940618308825,76633212213995196,720575940617910017,3673611,LH_L,,DP1m_adPN,left,DP1m,uniglomerular,PD2a1_b1,CB2842,LHPD2a1,left
88855333,76563049628055295,720575940618308825,76563049628084261,720575940630050391,88855333,LH_L,,DP1m_adPN,left,DP1m,uniglomerular,PD2a1_b1,CB2842,LHPD2a1,left
87410203,76703580891504404,720575940618308825,76703580891508894,720575940621359988,87410203,LH_L,,DP1m_adPN,left,DP1m,uniglomerular,PV5a1,,LHPV5a1,left
20896438,76563255786903063,720575940618308825,76563255786919271,720575940614182398,20896438,LH_L,,DP1m_adPN,left,DP1m,uniglomerular,PV5a1,,LHPV5a1,left
107125020,83107686300416334,720575940622726271,83107686300423983,720575940617540509,107125020,LH_R,,DP1m_adPN,right,DP1m,uniglomerular,PV5a1,,LHPV5a1,right
239607683,76774224580416214,720575940618308825,76774224580420266,720575940617910017,239607683,LH_L,,DP1m_adPN,left,DP1m,uniglomerular,PD2a1_b1,CB2842,LHPD2a1,left
115416398,82826211323601575,720575940622726271,82826211323611498,720575940622484182,115416398,LH_R,,DP1m_adPN,right,DP1m,uniglomerular,PV5a1,,LHPV5a1,right
87399377,76703580891519322,720575940618308825,76703649610996663,720575940632818221,87399377,LH_L,,DP1m_adPN,left,DP1m,uniglomerular,PD2a1_b1,CB0339,LHPD2b1,left
101410779,82685405182612354,720575940622726271,82685405182603743,720575940634792884,101410779,LH_R,,DP1m_adPN,right,DP1m,uniglomerular,PD2a1_b1,CB2842,LHPD2a1,right
107778771,82966673934135885,720575940622726271,83037042678322271,720575940636488110,107778771,LH_R,,DP1m_adPN,right,DP1m,uniglomerular,PV5a1,,LHPV5a1,right
116382741,82825867726263524,720575940622726271,82825867726263377,720575940636488110,116382741,LH_R,,DP1m_adPN,right,DP1m,uniglomerular,PV5a1,,LHPV5a1,right
32943016,82896580067607613,720575940622726271,82896580067615837,720575940631962705,32943016,LH_R,,DP1m_adPN,right,DP1m,uniglomerular,PV5a1,,LHPV5a1,right
101411021,82615036438432931,720575940622726271,82615036438438979,720575940636488110,101411021,LH_R,,DP1m_adPN,right,DP1m,uniglomerular,PV5a1,,LHPV5a1,right
227400473,83037042678150176,720575940622726271,83037042678150155,720575940622484182,227400473,LH_R,,DP1m_adPN,right,DP1m,uniglomerular,PV5a1,,LHPV5a1,right
43634398,83107480208734940,720575940622726271,83107480208739938,720575940636488110,43634398,LH_R,,DP1m_adPN,right,DP1m,uniglomerular,PV5a1,,LHPV5a1,right
95915790,82825936445478470,720575940622726271,82825936445476083,720575940645673508,95915790,LH_R,,DP1m_adPN,right,DP1m,uniglomerular,PD2a1_b1,CB3009,LHPD2a1,right
141740022,82403861486493038,720575940622726271,82333492742320619,720575940636488110,141740022,LH_R,,DP1m_adPN,right,DP1m,uniglomerular,PV5a1,,LHPV5a1,right
6318602,82474230230381948,720575940619071005,82474230230369612,720575940634792884,6318602,LH_R,,DM1_lPN,right,DM1,uniglomerular,PD2a1_b1,CB2842,LHPD2a1,right
