target_group,bodyId_pre,bodyId_post,weight,type_pre,type_post,instance_pre,instance_post,conn_roiInfo,target_type,target_instance
PD2a1_b1,768884949,542634516,1,CRE057,LHPD2a1,CRE057_R,LHPD2a1_R,"{'INP': {'pre': 1, 'post': 1}, 'CRE(R)': {'pre': 1, 'post': 1}, 'CRE(-ROB,-RUB)(R)': {'pre': 1, 'post': 1}}",LHPD2a1,LHPD2a1_R
PD2a1_b1,785189156,548872750,1,KCab-m,LHPD2b1_a,KCab-m_R,LHPD2b1_a_R,"{'MB(R)': {'pre': 1, 'post': 1}, 'CA(R)': {'pre': 1, 'post': 1}, 'MB(+ACA)(R)': {'pre': 1, 'post': 1}}",LHPD2b1_a,LHPD2b1_a_R
PD2a1_b1,786273199,509928512,1,,LHPD2b1_a,,LHPD2b1_a_R,"{'MB(R)': {'pre': 1, 'post': 1}, 'CA(R)': {'pre': 1, 'post': 1}, 'MB(+ACA)(R)': {'pre': 1, 'post': 1}}",LHPD2b1_a,LHPD2b1_a_R
PD2a1_b1,788173517,571666434,1,LHAV4g16_a,LHPD2a1,LHAV4g16_a_R,LHPD2a1_R,"{'LH(R)': {'pre': 1, 'post': 1}}",LHPD2a1,LHPD2a1_R
PD2a1_b1,788306624,571666400,1,DM6_adPN,LHPD2b1_b,DM6_adPN_R,LHPD2b1_b_R,"{'LH(R)': {'pre': 1, 'post': 1}}",LHPD2b1_b,LHPD2b1_b_R
PD2a1_b1,788306624,5813089504,1,DM6_adPN,LHPD2b1_a,DM6_adPN_R,LHPD2b1_a_R,"{'MB(R)': {'pre': 1, 'post': 1}, 'CA(R)': {'pre': 1, 'post': 1}, 'MB(+ACA)(R)': {'pre': 1, 'post': 1}}",LHPD2b1_a,LHPD2b1_a_R
PD2a1_b1,788306724,542634516,1,VC4_adPN,LHPD2a1,VC4_adPN_R,LHPD2a1_R,"{'LH(R)': {'pre': 1, 'post': 1}}",LHPD2a1,LHPD2a1_R
PD2a1_b1,788945049,571666400,1,M_adPNm8,LHPD2b1_b,M_adPNm8_R,LHPD2b1_b_R,"{'LH(R)': {'pre': 1, 'post': 1}}",LHPD2b1_b,LHPD2b1_b_R
PD2a1_b1,788949440,548872750,1,,LHPD2b1_a,(AVM06)_R,LHPD2b1_a_R,"{'LH(R)': {'pre': 1, 'post': 1}}",LHPD2b1_a,LHPD2b1_a_R
PD2a1_b1,790629881,571666400,1,aSP-f3,LHPD2b1_b,aSP-f3_R,LHPD2b1_b_R,"{'LH(R)': {'pre': 1, 'post': 1}}",LHPD2b1_b,LHPD2b1_b_R
PD2a1_b1,790917992,542634516,1,LHPV4a3,LHPD2a1,LHPV4a3_R,LHPD2a1_R,"{'LH(R)': {'pre': 1, 'post': 1}}",LHPD2a1,LHPD2a1_R
PD2a1_b1,790917992,571666434,1,LHPV4a3,LHPD2a1,LHPV4a3_R,LHPD2a1_R,"{'LH(R)': {'pre': 1, 'post': 1}}",LHPD2a1,LHPD2a1_R
PD2a1_b1,790918021,548872750,1,LHPV4f1_b,LHPD2b1_a,LHPV4f1_b_R,LHPD2b1_a_R,"{'LH(R)': {'pre': 1, 'post': 1}}",LHPD2b1_a,LHPD2b1_a_R
PD2a1_b1,790918021,640963556,1,LHPV4f1_b,LHPD2a1,LHPV4f1_b_R,LHPD2a1_R,"{'LH(R)': {'pre': 1, 'post': 1}}",LHPD2a1,LHPD2a1_R
PD2a1_b1,791307174,548872750,1,LHAV7a5,LHPD2b1_a,LHAV7a5_R,LHPD2b1_a_R,"{'SNP(R)': {'pre': 1, 'post': 1}, 'SIP(R)': {'pre': 1, 'post': 1}}",LHPD2b1_a,LHPD2b1_a_R
PD2a1_b1,791946302,542634516,1,LHPV2b2_a,LHPD2a1,LHPV2b2_a_R,LHPD2a1_R,"{'LH(R)': {'pre': 1, 'post': 1}}",LHPD2a1,LHPD2a1_R
PD2a1_b1,792326206,571666400,1,LHAD1g1,LHPD2b1_b,LHAD1g1_R,LHPD2b1_b_R,"{'LH(R)': {'pre': 1, 'post': 1}}",LHPD2b1_b,LHPD2b1_b_R
PD2a1_b1,792326206,573329304,1,LHAD1g1,LHPD2a1,LHAD1g1_R,LHPD2a1_R,"{'LH(R)': {'pre': 1, 'post': 1}}",LHPD2a1,LHPD2a1_R
PD2a1_b1,792692885,571666434,1,SLP457,LHPD2a1,SLP457(SCB013)_R,LHPD2a1_R,"{'SNP(R)': {'pre': 1, 'post': 1}, 'SLP(R)': {'pre': 1, 'post': 1}}",LHPD2a1,LHPD2a1_R
PD2a1_b1,793702856,542634516,1,LHAV6a2_b,LHPD2a1,LHAV6a2_b_R,LHPD2a1_R,"{'LH(R)': {'pre': 1, 'post': 1}}",LHPD2a1,LHPD2a1_R
PD2a1_b1,793702856,571666400,1,LHAV6a2_b,LHPD2b1_b,LHAV6a2_b_R,LHPD2b1_b_R,"{'LH(R)': {'pre': 1, 'post': 1}}",LHPD2b1_b,LHPD2b1_b_R
PD2a1_b1,793728667,548872750,1,LHAV9a1_c,LHPD2b1_a,LHAV9a1_c_R,LHPD2b1_a_R,"{'LH(R)': {'pre': 1, 'post': 1}}",LHPD2b1_a,LHPD2b1_a_R
PD2a1_b1,793992755,573329304,1,LHPV2b2_b,LHPD2a1,LHPV2b2_b_R,LHPD2a1_R,"{'LH(R)': {'pre': 1, 'post': 1}}",LHPD2a1,LHPD2a1_R
PD2a1_b1,794104770,509928512,1,,LHPD2b1_a,,LHPD2b1_a_R,"{'INP': {'pre': 1, 'post': 1}, 'SCL(R)': {'pre': 1, 'post': 1}}",LHPD2b1_a,LHPD2b1_a_R
PD2a1_b1,796146244,509928512,1,,LHPD2b1_a,,LHPD2b1_a_R,"{'SNP(R)': {'pre': 1, 'post': 1}, 'SMP(R)': {'pre': 1, 'post': 1}}",LHPD2b1_a,LHPD2b1_a_R
PD2a1_b1,796146244,573337611,1,,LHPD2a1,,LHPD2a1_R,"{'SNP(R)': {'pre': 1, 'post': 1}, 'SIP(R)': {'pre': 1, 'post': 1}}",LHPD2a1,LHPD2a1_R
PD2a1_b1,796836697,571666400,1,CRE055,LHPD2b1_b,CRE055_R,LHPD2b1_b_R,"{'SNP(R)': {'pre': 1, 'post': 1}, 'SIP(R)': {'pre': 1, 'post': 1}}",LHPD2b1_b,LHPD2b1_b_R
PD2a1_b1,798192115,548872750,1,KCab-m,LHPD2b1_a,KCab-m_R,LHPD2b1_a_R,"{'MB(R)': {'pre': 1, 'post': 1}, 'CA(R)': {'pre': 1, 'post': 1}, 'MB(+ACA)(R)': {'pre': 1, 'post': 1}}",LHPD2b1_a,LHPD2b1_a_R
PD2a1_b1,798901539,640963556,1,,LHPD2a1,,LHPD2a1_R,"{'SNP(R)': {'pre': 1, 'post': 1}, 'SMP(R)': {'pre': 1, 'post': 1}}",LHPD2a1,LHPD2a1_R
PD2a1_b1,798908816,548872750,1,CRE055,LHPD2b1_a,CRE055_R,LHPD2b1_a_R,"{'SNP(R)': {'pre': 1, 'post': 1}, 'SMP(R)': {'pre': 1, 'post': 1}}",LHPD2b1_a,LHPD2b1_a_R
PD2a1_b1,798908816,571666400,1,CRE055,LHPD2b1_b,CRE055_R,LHPD2b1_b_R,"{'SNP(R)': {'pre': 1, 'post': 1}, 'SMP(R)': {'pre': 1, 'post': 1}}",LHPD2b1_b,LHPD2b1_b_R
PD2a1_b1,799583417,573337611,1,CRE064,LHPD2a1,CRE064_R,LHPD2a1_R,"{'INP': {'pre': 1, 'post': 1}, 'CRE(R)': {'pre': 1, 'post': 1}, 'CRE(-ROB,-RUB)(R)': {'pre': 1, 'post': 1}}",LHPD2a1,LHPD2a1_R
