target_group,bodyId_pre,bodyId_post,weight,type_pre,type_post,instance_pre,instance_post,conn_roiInfo,target_type,target_instance
PD2a1_b1,635062078,548872750,6,DP1m_adPN,LHPD2b1_a,DP1m_adPN_R,LHPD2b1_a_R,"{'MB(R)': {'pre': 6, 'post': 6}, 'CA(R)': {'pre': 6, 'post': 6}, 'MB(+ACA)(R)': {'pre': 6, 'post': 6}}",LHPD2b1_a,LHPD2b1_a_R
PD2a1_b1,666818300,548872750,6,V_l2PN,LHPD2b1_a,V_l2PN_R,LHPD2b1_a_R,"{'INP': {'pre': 3, 'post': 3}, 'SCL(R)': {'pre': 3, 'post': 3}, 'LH(R)': {'pre': 3, 'post': 3}}",LHPD2b1_a,LHPD2b1_a_R
PD2a1_b1,724816115,542634516,6,DP1l_adPN,LHPD2a1,DP1l_adPN_R,LHPD2a1_R,"{'LH(R)': {'pre': 6, 'post': 6}}",LHPD2a1,LHPD2a1_R
PD2a1_b1,1692817033,542634516,6,VA7l_adPN,LHPD2a1,VA7l_adPN_R,LHPD2a1_R,"{'LH(R)': {'pre': 6, 'post': 6}}",LHPD2a1,LHPD2a1_R
PD2a1_b1,1756579280,509928512,6,DL2d_adPN,LHPD2b1_a,DL2d_adPN_R,LHPD2b1_a_R,"{'MB(R)': {'pre': 6, 'post': 6}, 'CA(R)': {'pre': 6, 'post': 6}, 'MB(+ACA)(R)': {'pre': 6, 'post': 6}}",LHPD2b1_a,LHPD2b1_a_R
PD2a1_b1,1977916288,542634516,6,VM3_adPN,LHPD2a1,VM3_adPN_R,LHPD2a1_R,"{'LH(R)': {'pre': 6, 'post': 6}}",LHPD2a1,LHPD2a1_R
PD2a1_b1,1977916288,573337611,6,VM3_adPN,LHPD2a1,VM3_adPN_R,LHPD2a1_R,"{'LH(R)': {'pre': 6, 'post': 6}}",LHPD2a1,LHPD2a1_R
PD2a1_b1,5901222910,5813089504,6,DM2_lPN,LHPD2b1_a,DM2_lPN_R,LHPD2b1_a_R,"{'MB(R)': {'pre': 6, 'post': 6}, 'CA(R)': {'pre': 6, 'post': 6}, 'MB(+ACA)(R)': {'pre': 6, 'post': 6}}",LHPD2b1_a,LHPD2b1_a_R
PD2a1_b1,635062078,573329304,5,DP1m_adPN,LHPD2a1,DP1m_adPN_R,LHPD2a1_R,"{'LH(R)': {'pre': 5, 'post': 5}}",LHPD2a1,LHPD2a1_R
PD2a1_b1,1734420152,571666434,5,DL2v_adPN,LHPD2a1,DL2v_adPN_R,LHPD2a1_R,"{'LH(R)': {'pre': 5, 'post': 5}}",LHPD2a1,LHPD2a1_R
PD2a1_b1,5813039315,548872750,5,DA1_lPN,LHPD2b1_a,DA1_lPN_R,LHPD2b1_a_R,"{'LH(R)': {'pre': 5, 'post': 5}}",LHPD2b1_a,LHPD2b1_a_R
PD2a1_b1,693479072,571666400,4,VM7v_adPN,LHPD2b1_b,VM7v_adPN_R,LHPD2b1_b_R,"{'LH(R)': {'pre': 4, 'post': 4}}",LHPD2b1_b,LHPD2b1_b_R
