source_root_id,analysis_body_id,LN_instance,LN_type,analysis_hemisphere,neuropil,orn_synapses_in_hemisphere,pn_synapses_in_hemisphere,all_output_synapses_in_hemisphere
720575940619937445,7205759406199374452,CB3575_R,CB3575,R,AL_R,5,207,1504
720575940627369960,7205759406273699601,v2LN49_L,v2LN49,L,AL_L,2,325,1329
720575940612475598,7205759406124755981,lLN2P_a_L,lLN2P_a,L,AL_L,734,918,6245
720575940652562081,7205759406525620811,v2LN39a_L,v2LN39a,L,AL_L,6,403,2222
720575940606705073,7205759406067050731,CB3633_L,CB3633,L,AL_L,112,64,1569
720575940606705073,7205759406067050732,CB3633_R,CB3633,R,AL_R,3,33,487
720575940625958414,7205759406259584141,v2LN3A1_a_L,v2LN3A1_a,L,AL_L,179,99,1815
720575940625958414,7205759406259584142,v2LN3A1_a_R,v2LN3A1_a,R,AL_R,1,41,397
720575940612049459,7205759406120494592,CB2527_R,CB2527,R,AL_R,13,66,994
720575940638853454,7205759406388534541,v2LN42c_L,v2LN42c,L,AL_L,88,188,1439
720575940645372964,7205759406453729641,CB3417_L,CB3417,L,AL_L,4,48,441
720575940645372964,7205759406453729642,CB3417_R,CB3417,R,AL_R,15,231,2133
720575940638422480,7205759406384224801,CB2569_L,CB2569,L,AL_L,147,201,750
720575940638422480,7205759406384224802,CB2569_R,CB2569,R,AL_R,33,111,701
720575940627031226,7205759406270312261,CB3633_L,CB3633,L,AL_L,108,43,1786
720575940623955637,7205759406239556372,lLN2P_b_R,lLN2P_b,R,AL_R,902,1183,8789
720575940624180479,7205759406241804791,v2LN3A1_b_L,v2LN3A1_b,L,AL_L,2,59,397
720575940624180479,7205759406241804792,v2LN3A1_b_R,v2LN3A1_b,R,AL_R,261,147,2143
720575940635092122,7205759406350921222,l2LN19_R,l2LN19,R,AL_R,109,627,2645
720575940610680274,7205759406106802741,CB2527_L,CB2527,L,AL_L,9,153,1271
720575940649154681,7205759406491546812,CB3679_R,CB3679,R,AL_R,195,606,2151
720575940634809455,7205759406348094552,v2LN33_R,v2LN33,R,AL_R,39,281,2026
720575940622812799,7205759406228127991,CB3679_L,CB3679,L,AL_L,117,337,1502
720575940639878589,7205759406398785891,CB3417_L,CB3417,L,AL_L,6,237,1937
720575940639878589,7205759406398785892,CB3417_R,CB3417,R,AL_R,3,26,300
720575940627768409,7205759406277684091,lLN8_L,lLN8,L,AL_L,98,519,2070
720575940627768409,7205759406277684092,lLN8_R,lLN8,R,AL_R,215,412,1668
720575940625013175,7205759406250131751,v2LN3A1_b_L,v2LN3A1_b,L,AL_L,391,182,2150
720575940625013175,7205759406250131752,v2LN3A1_b_R,v2LN3A1_b,R,AL_R,5,43,421
720575940628330885,7205759406283308851,CB3417_L,CB3417,L,AL_L,7,217,1802
720575940617249949,7205759406172499491,l2LN19_L,l2LN19,L,AL_L,171,704,3087
720575940631858373,7205759406318583731,CB3417_L,CB3417,L,AL_L,2,68,521
720575940631858373,7205759406318583732,CB3417_R,CB3417,R,AL_R,96,296,3086
720575940634657431,7205759406346574311,l2LN19_L,l2LN19,L,AL_L,152,775,3243
720575940612732273,7205759406127322731,v2LN33_L,v2LN33,L,AL_L,275,365,2673
720575940617295901,7205759406172959011,v2LN5_L,v2LN5,L,AL_L,112,195,1026
720575940617295901,7205759406172959012,v2LN5_R,v2LN5,R,AL_R,1218,687,3770
720575940659429761,7205759406594297611,v2LN33_L,v2LN33,L,AL_L,129,275,1948
720575940635934143,7205759406359341431,CB1676_L,CB1676,L,AL_L,10,43,586
720575940635934143,7205759406359341432,CB1676_R,CB1676,R,AL_R,214,213,2726
720575940630571052,7205759406305710521,lLN1_bc_L,lLN1_bc,L,AL_L,123,2000,9428
720575940627014949,7205759406270149491,l2LN23_L,l2LN23,L,AL_L,434,429,3624
720575940621441494,7205759406214414942,v2LN33_R,v2LN33,R,AL_R,187,474,3005
720575940618458513,7205759406184585131,v2LN3A1_b_L,v2LN3A1_b,L,AL_L,1,14,252
720575940618458513,7205759406184585132,v2LN3A1_b_R,v2LN3A1_b,R,AL_R,409,230,3707
720575940617021234,7205759406170212341,CB3417_L,CB3417,L,AL_L,63,286,2971
720575940617021234,7205759406170212342,CB3417_R,CB3417,R,AL_R,1,50,465
720575940630592031,7205759406305920312,l2LN23_R,l2LN23,R,AL_R,293,381,3576
720575940630323303,7205759406303233032,vLN28_vLN29_R,vLN28_vLN29,R,AL_R,428,347,2286
720575940627605779,7205759406276057791,lLN2P_b_L,lLN2P_b,L,AL_L,770,1067,6906
720575940627214235,7205759406272142352,l2LN23_R,l2LN23,R,AL_R,268,381,3575
720575940621500865,7205759406215008652,lLN2P_a_R,lLN2P_a,R,AL_R,681,855,5537
720575940613222835,7205759406132228351,v2LN3A1_b_L,v2LN3A1_b,L,AL_L,351,213,3012
720575940613222835,7205759406132228352,v2LN3A1_b_R,v2LN3A1_b,R,AL_R,3,6,148
720575940630077558,7205759406300775581,vLN28_vLN29_L,vLN28_vLN29,L,AL_L,564,321,2261
