source_root_id,analysis_body_id,LN_instance,LN_type,analysis_hemisphere,analysis_neuropil,neuropil,n_synapses
720575940636241550,7205759406362415501,lLN2P_a_L,lLN2P_a,L,AL_L,AL_L,6215
720575940612907121,7205759406129071211,lLN2X12_L,lLN2X12,L,AL_L,AL_L,7253
720575940644255255,7205759406442552551,CB1132_L,CB1132,L,AL_L,AL_L,1673
720575940623248883,7205759406232488831,CB1141_L,CB1141,L,AL_L,AL_L,725
720575940606751922,7205759406067519221,lLN2X12_L,lLN2X12,L,AL_L,AL_L,6999
720575940606751922,7205759406067519221,lLN2X12_L,lLN2X12,L,AL_L,CRE_L,20
720575940630945335,7205759406309453351,lLN1_bc_L,lLN1_bc,L,AL_L,AL_L,11652
720575940630945335,7205759406309453351,lLN1_bc_L,lLN1_bc,L,AL_L,MB_ML_L,4
720575940634771552,7205759406347715521,vLN27_L,vLN27,L,AL_L,AL_L,4933
720575940634771552,7205759406347715521,vLN27_L,vLN27,L,AL_L,,36
720575940632795532,7205759406327955321,lLN2F_b_L,lLN2F_b,L,AL_L,AL_L,46082
720575940632795532,7205759406327955321,lLN2F_b_L,lLN2F_b,L,AL_L,CRE_L,33
720575940632795532,7205759406327955321,lLN2F_b_L,lLN2F_b,L,AL_L,LAL_L,73
720575940632795532,7205759406327955321,lLN2F_b_L,lLN2F_b,L,AL_L,VES_L,19
720575940632795532,7205759406327955321,lLN2F_b_L,lLN2F_b,L,AL_L,,45
720575940617586757,7205759406175867571,lLN2X12_L,lLN2X12,L,AL_L,AL_L,7691
720575940617586757,7205759406175867571,lLN2X12_L,lLN2X12,L,AL_L,CRE_L,8
720575940617586757,7205759406175867571,lLN2X12_L,lLN2X12,L,AL_L,LAL_L,3
720575940623788040,7205759406237880401,lLN2F_a_L,lLN2F_a,L,AL_L,AL_L,20961
720575940623788040,7205759406237880401,lLN2F_a_L,lLN2F_a,L,AL_L,CRE_L,40
720575940623788040,7205759406237880401,lLN2F_a_L,lLN2F_a,L,AL_L,LAL_L,9
720575940623788040,7205759406237880401,lLN2F_a_L,lLN2F_a,L,AL_L,VES_L,1
720575940628343634,7205759406283436341,lLN2P_c_L,lLN2P_c,L,AL_L,AL_L,9163
720575940628343634,7205759406283436341,lLN2P_c_L,lLN2P_c,L,AL_L,CRE_L,36
720575940631526215,7205759406315262151,CB1266_L,CB1266,L,AL_L,AL_L,529
720575940631526215,7205759406315262151,CB1266_L,CB1266,L,AL_L,AL_R,5568
720575940631526215,7205759406315262151,CB1266_L,CB1266,L,AL_L,LAL_L,1
720575940631526215,7205759406315262151,CB1266_L,CB1266,L,AL_L,LAL_R,1
720575940631526215,7205759406315262151,CB1266_L,CB1266,L,AL_L,NO,14
720575940631526215,7205759406315262151,CB1266_L,CB1266,L,AL_L,VES_R,17
720575940631526215,7205759406315262152,CB1266_R,CB1266,R,AL_R,AL_L,529
720575940631526215,7205759406315262152,CB1266_R,CB1266,R,AL_R,AL_R,5568
720575940631526215,7205759406315262152,CB1266_R,CB1266,R,AL_R,LAL_L,1
720575940631526215,7205759406315262152,CB1266_R,CB1266,R,AL_R,LAL_R,1
720575940631526215,7205759406315262152,CB1266_R,CB1266,R,AL_R,NO,14
720575940631526215,7205759406315262152,CB1266_R,CB1266,R,AL_R,VES_R,17
