bodyId_pre,bodyId_post,weight,type_pre,type_post,instance_pre,instance_post,conn_roiInfo
788648194,1700307582,20,DL2d_adPN,M_l2PNl21,DL2d_adPN_R,M_l2PNl21_R,"{'AL(R)': {'pre': 20, 'post': 20}, 'AL-DL2d(R)': {'pre': 11, 'post': 11}, 'AL-DP1l(R)': {'pre': 2, 'post': 2}, 'AL-DL2v(R)': {'pre': 7, 'post': 7}}"
1697604748,1700307582,20,ORN_DP1m,M_l2PNl21,ORN_DP1m_R,M_l2PNl21_R,"{'AL(R)': {'pre': 20, 'post': 20}, 'AL-DP1m(R)': {'pre': 20, 'post': 20}}"
1889253785,2383731281,20,VA3_adPN,M_vPNml51,VA3_adPN_R,M_vPNml51_R,"{'AL(R)': {'pre': 20, 'post': 20}, 'AL-VA4(R)': {'pre': 7, 'post': 7}, 'AL-VA3(R)': {'pre': 6, 'post': 6}, 'AL-VA5(R)': {'pre': 3, 'post': 3}, 'AL-VC2(R)': {'pre': 2, 'post': 2}, 'AL-VL1(R)': {'pre': 1, 'post': 1}}"
724816115,1700307582,19,DP1l_adPN,M_l2PNl21,DP1l_adPN_R,M_l2PNl21_R,"{'AL(R)': {'pre': 19, 'post': 19}, 'AL-DP1l(R)': {'pre': 17, 'post': 17}, 'AL-VL2a(R)': {'pre': 2, 'post': 2}}"
1730647280,1700307582,19,ORN_DP1m,M_l2PNl21,ORN_DP1m_R,M_l2PNl21_R,"{'AL(R)': {'pre': 19, 'post': 19}, 'AL-DP1m(R)': {'pre': 19, 'post': 19}}"
1858171556,1700307582,19,lLN2P_c,M_l2PNl21,lLN2P_c(Patchy)_R,M_l2PNl21_R,"{'AL(R)': {'pre': 19, 'post': 19}, 'AL-VA2(R)': {'pre': 19, 'post': 19}}"
638481581,1671952694,18,OA-VUMa2,M_lvPNm24,OA-VUMa2_R,M_lvPNm24_R,"{'AL(R)': {'pre': 16, 'post': 16}, 'AL-V(R)': {'pre': 2, 'post': 2}, 'AL-VP2(R)': {'pre': 2, 'post': 2}, 'AL-DA1(R)': {'pre': 3, 'post': 3}, 'AL-VP1d(R)': {'pre': 2, 'post': 2}, 'mALT(R)': {'pre': 2, 'post': 2}, 'AL-DC4(R)': {'pre': 1, 'post': 1}, 'AL-VA7m(R)': {'pre': 2, 'post': 2}, 'AL-VL2p(R)': {'pre': 1, 'post': 1}}"
1666596157,1700307582,18,ORN_DP1m,M_l2PNl21,ORN_DP1m_R,M_l2PNl21_R,"{'AL(R)': {'pre': 18, 'post': 18}, 'AL-DP1m(R)': {'pre': 17, 'post': 17}, 'AL-DP1l(R)': {'pre': 1, 'post': 1}}"
1761660556,1700307582,18,ORN_DP1m,M_l2PNl21,ORN_DP1m_R,M_l2PNl21_R,"{'AL(R)': {'pre': 18, 'post': 18}, 'AL-DP1m(R)': {'pre': 15, 'post': 15}, 'AL-DP1l(R)': {'pre': 3, 'post': 3}}"
693483018,1700307582,17,DL5_adPN,M_l2PNl21,DL5_adPN_R,M_l2PNl21_R,"{'AL(R)': {'pre': 17, 'post': 17}, 'AL-DL5(R)': {'pre': 11, 'post': 11}, 'AL-DC4(R)': {'pre': 1, 'post': 1}, 'AL-DP1m(R)': {'pre': 3, 'post': 3}, 'AL-DL1(R)': {'pre': 1, 'post': 1}, 'AL-DL2v(R)': {'pre': 1, 'post': 1}}"
