bodyId_pre,bodyId_post,weight,type_pre,type_post,instance_pre,instance_post,conn_roiInfo,input_glomerulus,mPN_type,mPN_instance
5813004626,1700307582,1,ORN_VC5,M_l2PNl21,ORN_VC5,M_l2PNl21_R,"{'AL(R)': {'pre': 1, 'post': 1}, 'AL-VC5(R)': {'pre': 1, 'post': 1}}",VC5,M_l2PNl21,M_l2PNl21_R
5813024981,609924156,1,ORN_VL2a,M_lvPNm39,ORN_VL2a_R,M_lvPNm39_R,"{'AL(R)': {'pre': 1, 'post': 1}, 'AL-VL2a(R)': {'pre': 1, 'post': 1}}",VL2a,M_lvPNm39,M_lvPNm39_R
5813034197,1671952694,1,ORN_DP1l,M_lvPNm24,ORN_DP1l_R,M_lvPNm24_R,"{'AL(R)': {'pre': 1, 'post': 1}, 'AL-DP1l(R)': {'pre': 1, 'post': 1}}",DP1l,M_lvPNm24,M_lvPNm24_R
5813034251,609924156,1,ORN_VL2a,M_lvPNm39,ORN_VL2a_R,M_lvPNm39_R,"{'AL(R)': {'pre': 1, 'post': 1}, 'AL-VL2a(R)': {'pre': 1, 'post': 1}}",VL2a,M_lvPNm39,M_lvPNm39_R
5813034463,609924156,1,ORN_VL2a,M_lvPNm39,ORN_VL2a_R,M_lvPNm39_R,"{'AL(R)': {'pre': 1, 'post': 1}, 'AL-VL2a(R)': {'pre': 1, 'post': 1}}",VL2a,M_lvPNm39,M_lvPNm39_R
5813034811,1700307582,1,ORN_V,M_l2PNl21,ORN_V_R,M_l2PNl21_R,"{'AL(R)': {'pre': 1, 'post': 1}, 'AL-V(R)': {'pre': 1, 'post': 1}}",V,M_l2PNl21,M_l2PNl21_R
5813039011,609924156,1,ORN_DL2v,M_lvPNm39,ORN_DL2v_R,M_lvPNm39_R,"{'AL(R)': {'pre': 1, 'post': 1}, 'AL-DL2v(R)': {'pre': 1, 'post': 1}}",DL2v,M_lvPNm39,M_lvPNm39_R
5813039012,1671952694,1,ORN_DP1m,M_lvPNm24,ORN_DP1m_L,M_lvPNm24_R,"{'AL(R)': {'pre': 1, 'post': 1}, 'AL-DP1m(R)': {'pre': 1, 'post': 1}}",DP1m,M_lvPNm24,M_lvPNm24_R
5813046796,1671952694,1,ORN_V,M_lvPNm24,ORN_V_R,M_lvPNm24_R,"{'AL(R)': {'pre': 1, 'post': 1}, 'AL-V(R)': {'pre': 1, 'post': 1}}",V,M_lvPNm24,M_lvPNm24_R
5813046796,1700307582,1,ORN_V,M_l2PNl21,ORN_V_R,M_l2PNl21_R,"{'AL(R)': {'pre': 1, 'post': 1}, 'AL-V(R)': {'pre': 1, 'post': 1}}",V,M_l2PNl21,M_l2PNl21_R
5813049745,1700307582,1,ORN_VC5,M_l2PNl21,ORN_VC5,M_l2PNl21_R,"{'AL(R)': {'pre': 1, 'post': 1}, 'AL-VC5(R)': {'pre': 1, 'post': 1}}",VC5,M_l2PNl21,M_l2PNl21_R
5813049934,1700307582,1,ORN_VC5,M_l2PNl21,ORN_VC5,M_l2PNl21_R,"{'AL(R)': {'pre': 1, 'post': 1}, 'AL-VC5(R)': {'pre': 1, 'post': 1}}",VC5,M_l2PNl21,M_l2PNl21_R
5813069942,2383731281,1,ORN_VL1,M_vPNml51,ORN_VL1_R,M_vPNml51_R,"{'AL(R)': {'pre': 1, 'post': 1}, 'AL-VL1(R)': {'pre': 1, 'post': 1}}",VL1,M_vPNml51,M_vPNml51_R
5813083386,1671952694,1,ORN_DA1,M_lvPNm24,ORN_DA1_L,M_lvPNm24_R,"{'AL(R)': {'pre': 1, 'post': 1}, 'AL-DA1(R)': {'pre': 1, 'post': 1}}",DA1,M_lvPNm24,M_lvPNm24_R
5813083386,1943811511,1,ORN_DA1,M_lvPNm31,ORN_DA1_L,M_lvPNm31_R,"{'AL(R)': {'pre': 1, 'post': 1}, 'AL-DA1(R)': {'pre': 1, 'post': 1}}",DA1,M_lvPNm31,M_lvPNm31_R
5901203878,1671952694,1,ORN_VC5,M_lvPNm24,ORN_VC5,M_lvPNm24_R,"{'AL(R)': {'pre': 1, 'post': 1}, 'AL-VC5(R)': {'pre': 1, 'post': 1}}",VC5,M_lvPNm24,M_lvPNm24_R
5901221329,1700307582,1,ORN_VL2p,M_l2PNl21,ORN_VL2p_R,M_l2PNl21_R,"{'AL(R)': {'pre': 1, 'post': 1}, 'AL-VL2p(R)': {'pre': 1, 'post': 1}}",VL2p,M_l2PNl21,M_l2PNl21_R
